date,nice_date,artist,venue,show_url
"1452499200000","Monday Jan 11","Moons Of Mars","Bardot","http://www.itsaschoolnight.com/rsvp/160111la.html"
"1452499200000","Monday Jan 11","Magic Bronson","The Satellite","http://www.ticketfly.com/event/1038923-magic-bronson-january-los-angeles/"
"1452499200000","Monday Jan 11","SWIMM","The Echo","http://www.ticketfly.com/event/1026955-monday-night-residency-swimm-los-angeles/"
"1452499200000","Monday Jan 11","Omar Velasco","Bootleg Bar","http://www.ticketfly.com/event/1015509-omar-velasco-residency-los-angeles/"
"1452499200000","Monday Jan 11","Runaway Saints","The Hotel Cafe","http://www.hotelcafe.com/calendar.html"
"1452499200000","Monday Jan 11","Flying Hair","The Mint","http://themintla.com/show.cfm?id=223821&cart"
"1452499200000","Monday Jan 11","The Inprovised Shakespeare Company","Largo At The Coronet","http://www.shareasale.com/r.cfm?u=461230&b=234786&m=27601&afftrack=&urllink=www%2Eticketfly%2Ecom%2Fpurchase%2Fevent%2F996949%2Ftfly"
"1452499200000","Monday Jan 11","Kevin Nealon","The Lyric Theatre","http://www.shareasale.com/r.cfm?u=461230&b=234786&m=27601&afftrack=&urllink=www%2Eticketfly%2Ecom%2Fpurchase%2Fevent%2F1043687%2Ftfly"
"1452499200000","Monday Jan 11","True North","Blue Whale","http://bluewhalemusic.com/calendar/true-north-2/"
"1452499200000","Monday Jan 11","Mike Castle","El Cid","http://www.elcidla.com/event/1041521-round-2-stand-up-comedy-los-angeles/"
"1452499200000","Monday Jan 11","Silver Snakes","Silverlake Lounge","http://www.ticketfly.com/event/995531-silver-snakes-flames-durga-los-angeles/"
"1452499200000","Monday Jan 11","The Pyramids","The Love Song","http://www.ticketfly.com/event/1040085-pyramids-residency-los-angeles/"
"1452499200000","Monday Jan 11","Doorly","Sound Nightclub","ttp://soundnightclub.com/event.cfm?cart&id=160543"
"1452499200000","Monday Jan 11","Blue Mondays","Boardner's","http://clubbluemondays.com/"
"1452499200000","Monday Jan 11","BEYONDADOUBT","The Ace Hotel-Downtown Los Angeles","https://www.acehotel.com/calendar/losangeles/beyondadoubt-guests-jan16"
"1452499200000","Monday Jan 11","Gene Loves Jezebel","Harvard And Stone","http://www.harvardandstone.com/events/dirty-laundry-presents-mike-watt-the-missing-men-zig-zags-and-death-hymn-number-9-dj-adam-mayes-joey-bernardo-in-rd-bar/"
"1452499200000","Monday Jan 11","Royal Karaoke","The Federal Bar","http://www.awin1.com/cread.php?awinmid=4103&awinaffid=174887&clickref=&p=http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=6438675"
"1452499200000","Monday Jan 11","Moist Mondays","La Cita","http://www.lacitabar.com/event/moist-mondays-13/"
"1452499200000","Monday Jan 11","Hillary Scott","Genghis Cohen","http://www.awin1.com/cread.php?awinmid=4103&awinaffid=174887&clickref=&p=http://www.ticketweb.com/t3/sale/SaleEventDetail?dispatch=loadSelectionData&eventId=6420075"
"1452499200000","Monday Jan 11","Rubber","Redwood Bar & Grill","http://www.theredwoodbar.com/2012/calendar.html"
"1452499200000","Monday Jan 11","Travesura","The Wayfarer","http://www.ticketfly.com/event/1035963-travesura-girl-tears-costa-mesa/"
"1452499200000","Monday Jan 11","West Coast Swing!","Borderline Bar & Grill","http://www.ticketfly.com/event/1044509-monday-west-coast-swing-thousand-oaks/"
"1452499200000","Monday Jan 11","Open Mic w/ Ted Quinn","Pappy & Harriet's Pioneertown Palace","http://www.pappyandharriets.com/event/1006949-open-mic-ted-quinn-pioneertown/"
"1452499200000","Monday Jan 11","Improv","Aces Comedy Club","http://www.shareasale.com/r.cfm?u=461230&b=234786&m=27601&afftrack=&urllink=www%2Eticketfly%2Ecom%2Fpurchase%2Fevent%2F1042541%2Ftfly"
"1452585600000","Tuesday Jan 12","Dear Boy","The Echo","http://www.shareasale.com/r.cfm?u=461230&b=234786&m=27601&afftrack=&urllink=www%2Eticketfly%2Ecom%2Fpurchase%2Fevent%2F1038419%2Ftfly"
