venue,shows
The Echo,29
Fonda Theatre,26
The Observatory,26
The Troubadour,25
El Rey Theatre,24
The Roxy,24
House Of Blues Anaheim,22
Teragram Ballroom,17
Wiltern,16
Constellation Room,16
McCabe's Guitar Shop,14
Hollywood Palladium,13
Alex's Bar,13
Pappy & Harriet's Pioneertown Palace,12
City National Grove Of Anaheim,11
Echoplex,10
Microsoft Theater,10
Sound Nightclub,10
Redwood Bar & Grill,9
The Smell,9
The Theatre At Ace Hotel,9
New Wave Bar,9
Fantasy Springs Casino,8
UCLA Royce Hall,8
The Masonic Lodge At Hollywood Forever Cemetery,8
Complex,8
Avalon Hollywood,7
The Slidebar,7
Exchange L.A.,7
Largo At The Coronet,6
Club Nokia,6
The Granada Theatre,6
Townhouse Venice,6
The Forum,6
Fox Theater,5
The Satellite,5
Fox Performing Arts Center,5
Bootleg Bar,5
The GRAMMY Museum,4
The E Spot Lounge,4
Sutra,4
Bardot,4
Agua Caliente Casino,4
Shrine Auditorium,3
Ventura Theater,3
Shrine Expo Hall,3
Boardner's,3
The Glass House,3
Bootleg Theater,3
The Continental Room,3
The Regent Theater,3
Cathedral Sanctuary At Immanuel Presbyterian Church,3
Create Nightclub,3
King King,3
Harvard And Stone,3
Blue Whale,3
Mrs. Fish,3
The Ace Hotel-Downtown Los Angeles,3
The Hotel Cafe,3
Borderline Bar & Grill,2
Walt Disney Concert Hall,2
Tower Theatre,2
Arts Plaza,2
Honda Center,2
La Cita,2
San Manuel Amphitheater,2
Club Bahia,2
Los Angeles Memorial Sports Arena,2
Expo Park at L.A. Coliseum,2
Saint Rocke,2
The Belasco Theater,2
Waterfront Park,2
Staples Center,2
Center For The Arts-Eagle Rock,2
The Lyric Theatre,2
Soho,2
El Cid,2
The Mint,2
Lobero Theatre,1
Couture,1
Citizens Business Bank Arena,1
The Airliner,1
Lot 613,1
The Standard-West Hollywood,1
Orpheum Theatre,1
Arlington Theatre,1
San Manuel Casino,1
NOS Events Center,1
Irvine Meadows Amphitheatre,1
Regent Theater,1
Belasco Theater,1
The Mayan,1
The Grand Star Jazz Club,1
The Federal Bar,1
Catalina Bar & Grill,1
Silverlake Lounge,1
Aces Comedy Club,1
The Merrow,1
Resident,1
The Love Song,1
Music Box,1
Zanzibar,1
Ren,1
Characters Bar,1
The Prospector,1
Warner Grand Theatre,1
The Lost Room,1
The Wayfarer,1
Genghis Cohen,1
Harvelle's,1
